,open,high,low,close,tick_volume,real_volume,datetime,volume
0,89.29,90.38,88.81,90.17,1016,1390,2020-09-28 09:00:00,1390
1,90.23,90.51,90.07,90.48,320,708,2020-09-28 10:00:00,708
2,90.47,90.61,90.35,90.56,288,453,2020-09-28 11:00:00,453
3,90.58,90.8,90.5,90.74,205,389,2020-09-28 12:00:00,389
4,90.75,91.4,90.74,91.2,471,932,2020-09-28 13:00:00,932
5,91.22,91.6,90.87,91.4,512,1072,2020-09-28 14:00:00,1072
6,91.41,91.58,91.18,91.53,302,681,2020-09-28 15:00:00,681
7,91.54,91.78,91.47,91.75,129,248,2020-09-28 16:00:00,248
8,91.19,92.04,90.49,91.54,1399,2021,2020-09-29 09:00:00,2021
9,91.6,91.96,90.63,91.11,752,1202,2020-09-29 10:00:00,1202
10,91.12,91.25,90.74,90.98,185,272,2020-09-29 11:00:00,272
11,90.91,90.97,90.31,90.67,471,730,2020-09-29 12:00:00,730
12,90.67,91.53,90.57,91.12,587,924,2020-09-29 13:00:00,924
13,91.15,91.38,91.05,91.24,191,296,2020-09-29 14:00:00,296
14,91.25,91.67,91.17,91.66,431,659,2020-09-29 15:00:00,659
15,91.67,91.95,91.64,91.94,252,598,2020-09-29 16:00:00,598
16,92.27,92.74,92.13,92.74,748,1002,2020-09-30 09:00:00,1002
17,92.74,92.81,92.41,92.46,291,552,2020-09-30 10:00:00,552
18,92.51,92.69,92.0,92.48,524,717,2020-09-30 11:00:00,717
19,92.48,92.67,92.37,92.62,110,138,2020-09-30 12:00:00,138
20,92.62,93.86,92.62,93.66,1029,1914,2020-09-30 13:00:00,1914
21,93.69,93.77,93.53,93.72,271,485,2020-09-30 14:00:00,485
22,93.68,93.76,93.23,93.36,627,980,2020-09-30 15:00:00,980
23,93.35,93.51,93.32,93.44,173,410,2020-09-30 16:00:00,410
24,93.16,93.95,92.81,93.89,1101,1311,2020-10-01 09:00:00,1311
25,93.89,94.14,93.56,93.91,477,795,2020-10-01 10:00:00,795
26,93.93,94.05,93.82,94.0,120,181,2020-10-01 11:00:00,181
27,94.03,94.06,93.86,93.99,139,391,2020-10-01 12:00:00,391
28,93.96,94.31,93.51,94.14,789,1290,2020-10-01 13:00:00,1290
29,94.14,94.2,93.91,93.99,136,201,2020-10-01 14:00:00,201
30,94.02,94.07,93.72,93.8,222,305,2020-10-01 15:00:00,305
31,93.79,93.93,93.3,93.44,285,557,2020-10-01 16:00:00,557
32,93.87,94.15,93.16,93.82,846,905,2020-10-02 09:00:00,905
33,93.79,93.86,93.3,93.45,354,542,2020-10-02 10:00:00,542
34,93.41,93.92,93.4,93.9,313,676,2020-10-02 11:00:00,676
35,93.9,94.2,93.68,94.16,313,577,2020-10-02 12:00:00,577
36,94.18,94.21,93.96,94.02,215,370,2020-10-02 13:00:00,370
37,94.07,94.18,93.93,94.13,154,201,2020-10-02 14:00:00,201
38,94.09,94.22,93.94,94.01,175,223,2020-10-02 15:00:00,223
39,94.04,94.07,93.97,94.03,68,104,2020-10-02 16:00:00,104
40,94.02,94.89,94.02,94.77,716,926,2020-10-05 09:00:00,926
41,94.8,94.91,94.52,94.91,306,471,2020-10-05 10:00:00,471
42,94.9,95.17,94.9,95.13,230,303,2020-10-05 11:00:00,303
43,95.15,95.49,95.15,95.48,270,524,2020-10-05 12:00:00,524
44,95.48,95.51,95.2,95.27,244,486,2020-10-05 13:00:00,486
45,95.28,95.56,95.0,95.56,282,448,2020-10-05 14:00:00,448
46,95.52,95.55,95.06,95.25,221,364,2020-10-05 15:00:00,364
47,95.25,95.34,95.0,95.34,162,397,2020-10-05 16:00:00,397
48,95.74,95.88,95.52,95.62,619,759,2020-10-06 09:00:00,759
49,95.63,95.69,95.2,95.56,1035,1374,2020-10-06 10:00:00,1374
50,95.58,95.82,95.35,95.66,368,464,2020-10-06 11:00:00,464
51,95.53,95.76,95.49,95.73,125,174,2020-10-06 12:00:00,174
52,95.69,96.17,95.67,96.0,422,642,2020-10-06 13:00:00,642
53,95.94,96.26,95.94,96.11,238,453,2020-10-06 14:00:00,453
54,96.14,96.74,96.11,96.6,479,759,2020-10-06 15:00:00,759
55,96.63,96.74,96.46,96.74,183,481,2020-10-06 16:00:00,481
56,96.31,97.09,96.2,97.06,783,1159,2020-10-07 09:00:00,1159
57,97.09,98.0,96.9,97.98,728,1045,2020-10-07 10:00:00,1045
